id,name,location,phonenumber,category,province,xpos,ypos,average_rating
16,서울요양병원,경기도 동두천시 탑동동 651-2번지,,"침구과, 한방재활의학과, 한방부인과, 한방내과, 가정의학과, 재활의학과, 산부인과, 신경외과, 정형외과, 신경과, 내과",경기,127.1013879,37.88021845,2.2
17,로젠요양병원,경기도 동두천시 생연동 307-13번지,,"침구과, 한방내과, 가정의학과, 재활의학과, 비뇨의학과, 피부과, 소아청소년과, 신경외과, 정형외과, 외과, 정신건강의학과, 신경과, 내과",경기,127.0627609,37.89920692,4.0
18,힐링탑요양병원,경기도 동두천시 생연동 826번지 11호,,"내과, 외과, 신경외과, 가정의학과, 한방내과, 침구과",경기,127.0510558,37.90685995,2.0
19,우성요양병원,경기도 안산시 단원구 고잔동 531번지 4호,,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과",경기,126.83214,37.3174036,3.9
20,힐링웰요양병원,경기도 남양주시 호평동 642-3번지 ZENEW빌딩 4~5층,,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사",경기,127.2446248,37.65471761,2.7
21,마석기독요양병원,경기도 남양주시 화도읍 창현리 493번지 6호,,"내과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",경기,127.3049199,37.65260642,5.0
22,운정한강요양병원,경기도 파주시 야당동 1074-1번지,,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",경기,126.7601752,37.71576643,4.2
23,연세모아요양병원,경기도 수원시 영통구 영통동 947-2번지,,"가정의학과, 재활의학과, 소아청소년과, 산부인과",경기,127.0805627,37.26714757,3.0
24,오산노인전문병원,경기도 오산시 궐동 543번지,,"가정의학과, 내과, 신경과",경기,127.0437116,37.16495451,2.8
25,오산메디컬재활요양병원,경기도 오산시 청학동 7번지 1호,,"한방내과, 한방재활의학과, 내과, 재활의학과, 가정의학과",경기,127.0648138,37.1540637,3.4
26,연제의료생활협동조합가평명인암노인전문병원,경기도 가평군 상면 봉수리 49번지 4호,,"한방내과, 가정의학과, 마취통증의학과, 신경과, 내과",경기,127.3042092,37.8408475,3.4
27,로하스요양병원,경기도 동두천시 송내동 673-4번지,,"침구과, 한방내과, 가정의학과, 재활의학과, 이비인후과, 신경외과, 정형외과, 외과, 신경과, 내과",경기,127.0533928,37.88156035,4.0
28,선재암요양병원,경기도 광주시 도척면 추곡리 182번지 1호,,"한방내과, 정형외과, 정신건강의학과, 신경과, 내과",경기,127.2976196,37.27907523,3.0
29,성루카요양병원,경기도 수원시 팔달구 인계동 942-4번지,,"외과, 내과",경기,127.0309147,37.27627266,2.6
30,의료법인 계요의료재단 계요노인전문병원,경기도 의왕시 왕곡동 280번지 1호,,"신경과, 가정의학과, 정신건강의학과, 내과",경기,126.9813214,37.34796928,4.0
31,의정부요양병원,경기도 의정부시 녹양동 321번지 3호,,"내과, 신경과, 외과, 정형외과, 신경외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",경기,127.0222283,37.75742677,2.2
32,동탄성모요양병원,경기도 화성시 반송동 220-3번지 삼성미즈빌딩,,"내과, 신경과, 외과, 산부인과",경기,127.0735643,37.19410908,3.7
33,탑요양병원,경기도 광명시 광명동 52번지 1호 지하1층~지상6층,,"내과, 신경과, 외과, 정형외과, 신경외과, 흉부외과, 피부과, 재활의학과, 가정의학과, 응급의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, ",경기,126.8559763,37.48500966,2.6
34,다온요양병원,"경기도 부천시 상동 235번지 1호 바로빌딩,바로빌딩,지하1층일부,2층,3층,6층",,"내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 침구과",경기,126.7632066,37.49274192,3.0
35,의료법인양지의료재단양지요양병원,경기도 이천시 호법면 매곡리 990-1번지,,"한방재활의학과, 한방내과, 가정의학과, 외과, 신경과, 내과",경기,127.3777675,37.18758416,3.0
36,우리요양병원,경기도 이천시 백사면 조읍리 291번지 1호,,"내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과",경기,127.4843447,37.32479478,3.8
37,서울라이즈요양병원,경기도 구리시 수택동 515번지 53호 동진스카이빌딩 6층~10층,,"신경과, 한방내과, 재활의학과, 내과",경기,127.1437133,37.59813108,3.0
38,이담사랑요양병원,경기도 동두천시 상패동 201-19,,"한방내과, 비뇨기과, 재활의학과, 소아청소년과, 가정의학과, 이비인후과, 내과",경기,127.0363051,37.90816372,3.2
39,늘푸른요양병원,경기도 동두천시  695번지,,"피부과, 성형외과, 재활의학과, 소아청소년과, 이비인후과, 신경과, 내과",경기,127.0537919,37.89269293,3.0
40,경기도노인전문시흥병원,경기도 시흥시 광석동 353번지 9호,,"마취통증의학과, 영상의학과, 신경외과, 피부과, 산부인과, 정형외과, 안과, 이비인후과, 비뇨의학과, 재활의학과, 신경과, 한방재활의학과, 한방소아과, 한방부인과, 한방신경정신과,",경기,126.8070961,37.38626862,4.0
41,포천새맘요양병원,경기도 포천시 내촌면 소학리 314-8번지,,"침구과, 한방재활의학과, 한방내과, 가정의학과, 외과, 신경과, 내과",경기,127.2487443,37.79454979,2.5
42,국민의료생협 승리요양병원,경기도 포천시 군내면 구읍리 9번지,,"가정의학과, 피부과, 이비인후과, 안과, 내과",경기,127.2299598,37.8843961,1.5
43,포천사랑요양병원,경기도 포천시 소흘읍 송우리 726번지 76호,,"재활의학과, 비뇨기과, 피부과, 신경외과, 정형외과, 외과, 정신건강의학과, 신경과, 내과",경기,127.1406222,37.83037625,2.0
44,포천효성요양병원,경기도 포천시 이동면 도평리 281번지 5호,,"가정의학과, 비뇨기과, 정형외과, 피부과, 외과, 내과",경기,127.3812263,38.04956478,3.4
45,메디힐포천요양병원,경기도 포천시 신북면 기지리 961-1번지,,"가정의학과, 재활의학과, 피부과, 정형외과, 외과, 신경과, 내과",경기,127.2261907,37.93486027,3.2
46,후레쉬밸리요양병원,"경기도 포천시 화현면 화현리 729-3번지 지상1,2,3,4층",,"침구과, 한방신경정신과, 한방부인과, 한방내과, 가정의학과",경기,127.30976,37.90100993,3.7
47,의료법인이정의료재단효사랑병원,경기도 연천군 전곡읍 전곡리 235번지,,"가정의학과, 산부인과, 정형외과, 외과, 내과",경기,127.0690089,38.01742516,4.0
48,송추효자요양병원,경기도 양주시 백석읍기산리368-3,,"외과, 신경과, 내과",경기,126.9377651,37.77104251,3.0
49,로뎀요양병원,경기도 양주시 남면신암리153-8,,"정신건강의학과, 신경과, 내과",경기,126.9653694,37.91726337,2.6
50,자혜요양병원,경기도 양주시 백석읍 기산리 381번지 3호,,"정신건강의학과, 가정의학과, 흉부외과, 외과, 내과",경기,126.9380149,37.7725489,1.0
51,양주효성요양병원,경기도 양주시 백석읍 기산리 317번지 5호,,"한방재활의학과, 침구과, 한방신경정신과, 한방내과, 피부과, 산부인과, 소아청소년과, 가정의학과, 내과",경기,126.9407081,37.77677986,3.5
52,연세요양병원,경기도 양주시 백석읍 기산리 368-3번지,,"내과, 외과, 신경외과, 가정의학과, 한방내과, 침구과",경기,126.9377651,37.77104251,2.2
53,예쓰요양병원,경기도 양주시 덕정동 222-27번지,,"한방응급과, 침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 가정의학과, 정형외과, 외과, 신경과, 내과",경기,127.0639294,37.83799471,3.5
54,송추요양병원,경기도 양주시 백석읍 기산리 317번지 5호,,"침구과, 한방내과, 가정의학과, 내과",경기,126.9407081,37.77677986,1.6
55,아시엘요양병원,경기도 동두천시 상패동 201-19번지,,"침구과, 한방재활의학과, 한방내과, 가정의학과, 비뇨기과, 피부과, 소아청소년과, 외과, 내과",경기,127.0363051,37.90816372,3.2
56,삼성우리요양병원,경기도 화성시 진안동 914-1번지 메인프라자 7층,,"한방응급과, 침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 재활의학과, 외과, 내과",경기,127.0419699,37.2146333,2.8
57,화성해인요양병원,경기도 화성시 매송면 원평리 50-13번지,,"내과, 신경과, 소아청소년과, 안과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사",경기,126.9294066,37.24953333,3.5
58,의료법인다원의료재단 진접제일요양병원,경기도 남양주시 진접읍 팔야리 728-8번지 진접제일요양병원,,"내과, 신경과, 외과, 정형외과, 소아청소년과, 재활의학과, 한방내과",경기,127.2047986,37.74618207,2.0
59,담우요양병원,경기도 용인시 기흥구 보라동 580번지 3호,,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과",경기,127.1116554,37.25437268,3.6
60,의정부연세요양병원,경기도 의정부시 의정부동 15번지 2호,,"내과, 정신건강의학과, 재활의학과",경기,127.0532305,37.74444316,2.9
61,(의)대선의료재단으뜸요양병원,경기도 안산시 상록구 본오동 878번지 3호 지하1층 ~ 지상5층,,"한방내과, 외과, 재활의학과",경기,126.8611548,37.30153726,2.0
62,더드림의료소비자생활협동조합미래요양병원,경기도 안산시 단원구 선부동 1070번지 18호 상록타운 401~406호,,"신경외과, 이비인후과, 정형외과, 가정의학과, 외과, 내과, 침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방부인과, 한방소아과, 한방내과",경기,126.8093923,37.33663457,5.0
63,아이디어요양병원,경기도 안산시 단원구 고잔동 642-4,,"한방안·이비인후·피부과, 침구과, 한방소아과, 한방부인과, 한방재활의학과, 외과, 비뇨기과, 소아청소년과, 정형외과, 마취통증의학과, 신경외과, 재활의학과, 한방내과, 내과",경기,126.839934,37.33083279,4.4
64,베스트원요양병원,경기도 안산시 상록구 본오동 720번지,,"비뇨기과, 소아청소년과, 가정의학과, 내과, 정형외과, 침구과, 한방신경정신과, 한방부인과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 한방내과",경기,126.8664716,37.2891628,2.7
65,새생명요양병원,"경기도 안산시 단원구 초지동 742-2번지 101-1,101-2,202,207호",,"침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 피부과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 가정의학과, 내과",경기,126.8109164,37.30324745,3.0
66,(의)현당의료재단 늘봄요양병원,경기도 용인시 수지구 상현동 1186번지 광교복합의료센터,,"내과, 재활의학과, 한방내과",경기,127.065875,37.30107713,3.2
67,의료법인동행의료재단보리수요양병원,경기도 김포시 운양동 829-3번지,,"침구과, 사상체질과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 가정의학과, 재활의학과, 신경외과, 신경과",경기,126.6760927,37.66430259,3.3
68,다스람요양병원,"경기도 고양시 일산동구 성석동 1227번지 10호 지항1층,1~4층",,"한방내과, 침구과, 재활의학과, 외과, 가정의학과, 내과",경기,126.7917654,37.71188648,4.0
69,용인벧엘정신병원,경기도 용인시 처인구 이동면 서리 160번지,,"정신건강의학과, 가정의학과, 한방신경정신과, 한방재활의학과",경기,127.1837318,37.19314736,2.7
70,홍영노인전문병원,경기도 양평군 청운면 신론리 225번지 홍영노인전문병원,,"내과, 외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방재활의학과, 사상체질과, 침구과",경기,127.7807775,37.55726026,1.8
71,용인효요양병원,경기도 용인시 기흥구 마북동 382번지 3호,,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 침구과",경기,127.1124328,37.29411775,4.0
72,세마그린요양병원,경기도 오산시 세교동 600번지 4호 오산세교CL타워,,"신경외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",경기,127.0422111,37.18589745,4.0
73,메디누리요양병원,경기도 고양시 일산서구 탄현동 1563번지 1호 메디누리,,"내과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",경기,126.7629867,37.69194421,4.5
74,재단법인대성재단대성요양병원,경기도 부천시 중동 1160-2번지,,"내과, 신경과, 재활의학과, 가정의학과",경기,126.7637922,37.50222775,3.0
75,세라요양병원,경기도 부천시 원종동,,"내과, 외과, 정형외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨기과, 영상의학과, 병리과, 재활의학과",경기,,,3.3
76,동아효요양병원,경기도 부천시 삼정동,,"내과, 신경과, 외과, 산부인과, 재활의학과",경기,,,1.5
77,경기요양병원,경기도 부천시 심곡동 161번지 6호,,"내과, 외과, 정형외과, 소아청소년과, 이비인후과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",경기,126.7839508,37.48824555,3.6
78,의료법인서흥의료재단부천현대요양병원,"경기도 부천시 중동 1151-2번지 , 1~7층",,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경",경기,126.770129,37.50210483,2.8
79,광진요양병원,"경기도 부천시 상동 318-5번지 (1,5,8)층",,"내과, 정형외과, 신경외과, 소아청소년과, 비뇨기과",경기,126.7626818,37.48859244,4.0
80,부천미소요양병원,경기도 부천시 중동 1159번지 2호,,"내과, 신경과, 외과, 정형외과, 신경외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과,",경기,126.7637171,37.50296638,3.6
81,혜강원요양병원,경기도 부천시 중동 1123번지 2층호,,"내과, 정형외과, 재활의학과, 가정의학과",경기,126.7762258,37.4963647,2.8
82,사회복지법인 한마음복지협회 세라노인전문병원,경기도 부천시 원종동 281-6번지,,"내과, 신경과, 외과, 정형외과, 재활의학과",경기,126.8051382,37.52231686,2.8
83,바오로요양병원,경기도 부천시 심곡동 383번지 8호,,"내과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과",경기,126.7801944,37.48598738,2.2
84,부천요양병원,경기도 부천시 중동 1080번지,,"내과, 외과, 재활의학과, 한방내과",경기,126.7785694,37.50322928,2.2
85,수동요양병원,경기도 남양주시 수동면 운수리358-2 외2필지,,"한방응급과, 침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 신경과, 피부과, 내과, 가정의학과",경기,127.3221335,37.70766031,3.9
86,매그너스요양병원,경기도 남양주시 수동면 지둔리 323번지 1호,,"침구과, 한방내과, 재활의학과, 내과, 가정의학과, 외과, 정형외과",경기,127.2976816,37.72146535,3.2
87,남양주정드림노인전문병원,경기도 남양주시 금곡동 404-257번지,,"침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 가정의학과, 재활의학과, 병리과, 이비인후과, 신경외과, 정형외과",경기,127.2069861,37.63457528,3.3
88,수동연세요양병원,경기도 남양주시 수동면 운수리 361-6,,"비뇨기과, 재활의학과, 신경과, 피부과, 정형외과, 신경외과, 가정의학과, 외과, 내과",경기,127.3198817,37.70993727,3.8
89,한누리요양병원,경기도 남양주시 화도읍 묵현리 408번지 1호,,"한방내과, 가정의학과, 비뇨의학과, 피부과, 이비인후과, 신경과, 정형외과, 외과, 내과",경기,127.2739391,37.65567877,3.8
90,햇살요양병원,경기도 남양주시 호평동 23번지 21호,,"외과, 침구과, 한방내과, 소아청소년과, 가정의학과, 재활의학과, 내과",경기,127.2617484,37.6531851,3.2
91,경기도노인전문남양주병원,경기도 남양주시 수동면 외방리 172-3외5,,"가정의학과, 외과, 한방내과, 재활의학과, 신경과, 내과",경기,127.3093143,37.73840271,2.7
92,효담요양병원,경기도 남양주시 평내동 578번지 3호 메인프라자 9층,,"비뇨기과, 피부과, 신경과, 가정의학과, 내과",경기,127.2349761,37.64542153,1.3
93,남양주나무요양병원,"경기도 남양주시 평내동 578번지 3호 메인프라자 9층, 10층",,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과",경기,127.2349761,37.64542153,3.0
94,호평요양병원,"경기도 남양주시 호평동 641번지 1호 샤르망메디칼프라자, 7층 일부, 9층",,"한방내과, 재활의학과, 마취통증의학과, 가정의학과",경기,127.2445702,37.65411359,1.0
95,별내요양병원,"경기도 남양주시 별내동 1008번지 2호 별내동 JS타워 5층,6층",,"침구과, 가정의학과, 정형외과, 신경외과, 내과, 재활의학과",경기,127.1255476,37.64688256,3.3
96,한나의료소비자생활협동조합 수동아산요양병원,"경기도 남양주시 수동면 외방리 434번지 4호 1.2.3,4층",,"한방응급과, 침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 재활의학과, 신경과, 정형외과, 외과, 가정의학과, ",경기,127.303892,37.73732123,3.4
97,의료법인 소애의료재단 한울노인요양병원,"시흥시 정왕동 1861-7번지 A동 2층일부,3층일부",,"내과, 재활의학과, 가정의학과, 침구과",경기,126.7247123,37.35345228,2.5
98,(의) 예림의료재단 청록요양병원,"전라북도 김제시 남북로 202, (요촌동)",063-540-8500,내과,전북,126.8849407,35.8020566,4.0
99,(의)밀성학원의료재단 성모요양병원,"경상남도 김해시 김해대로 2479-1, (삼정동)",055-320-2080,내과,경남,128.8980324,35.2281381,3.0
100,(의)성덕의료재단 간절곶자연요양병원,"울산광역시 울주군 서생면 용리길 165-11, ()",052-246-0002,내과,울산,129.3226471,35.3667274,2.9
101,(의)수의료재단 서청솔요양병원,"경상남도 김해시 금관대로1084번길 15, (흥동)[*미고시]",055-310-5500,내과,경남,128.8507902,35.2240003,2.8
102,(의)영님의료재단 개금중앙요양병원,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",051-582-7001,내과,부산,129.0247268,35.153754,3.2
103,(의)피터의료재단새소망요양병원,"부산광역시 기장군 기장읍 기장해안로 552, ()",051-722-4848,내과,부산,129.226905,35.2228262,2.3
104,(의)환명의료재단 경상남도립김해노인전문병원,"경상남도 김해시 김해대로 1814-39, (삼계동)",055-330-2000,내과,경남,128.8610034,35.2616213,3.2
105,(재)대성재단 대성제일요양병원,"경기도 부천시 부흥로373번길 18, (심곡동)",032-610-1330,내과,경기,126.7838678,37.4920227,2.8
106,365강서수요양병원,"서울특별시 강서구 양천로 35, 1~6층 (방화동, 강서성심병원)",02-2663-0075,내과,서울,126.8077064,37.5729765,3.1
107,BB요양병원,"울산광역시 북구 염포로 353, (양정동)",052-716-1020,내과,울산,129.3780269,35.5593556,3.5
108,BH대학효요양병원,"부산광역시 서구 구덕로 164-7, (토성동3가)",051-254-5200,내과,부산,129.020361,35.0996073,1.8
109,가나안요양병원,"부산광역시 수영구 수영로 563-1, 지하1~10층 (광안동)",051-752-8000,내과,부산,129.1124247,35.1561769,3.2
110,가야요양병원,"충청남도 천안시 동남구 영성로 7, (영성동, 가야요양병원)",041-558-1000,내과,충남,127.1505959,36.7989313,3.2
111,가야이요양병원,"경상북도 성주군 성주읍 주산로 183, ()",054-933-7001,내과,경북,128.3040306,35.9330786,2.8
112,가온요양병원,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",032-212-2001,내과,인천,126.7078003,37.453577,
113,가은병원,"경기도 부천시 마니로24번길 43-17, (송내동, 가은병원A동)",032-667-0114,내과,경기,126.7688451,37.4774648,2.9
114,가족사랑 요양병원,"부산광역시 부산진구 새싹로 286, 4~9층 (초읍동)",051-806-1190,내과,부산,129.0473059,35.1816671,2.4
115,가창파티마요양병원,"대구광역시 달성군 가창면 가창로85길 24-6, ()",053-295-7000,내과,대구,128.6497959,35.7499693,3.4
116,가평산속요양병원,"경기도 가평군 상면 대보간선로 889, ()",031-584-8900,내과,경기,127.4044314,37.7889464,3.2
117,가평푸른숲요양병원,"경기도 가평군 상면 물골길 262-23, ()",1661-9099,내과,경기,127.3042267,37.8408586,4.3
118,감꽃요양병원,"경상북도 청도군 각북면 헐티로 1229, ()",054-371-7770,내과,경북,128.5663118,35.7143845,2.2
119,감인의료재단 신갈백세요양병원,"경기도 용인시 기흥구 신정로159번길 60, 신갈백세암요양병원 (신갈동)",031-693-6900,내과,경기,127.0971813,37.2868405,3.0
120,감인의료재단 청라백세요양병원,"인천광역시 서구 로봇랜드로249번길 14, (경서동)",032-524-8800,내과,인천,126.6100211,37.5290986,2.3
121,강남센트럴요양병원,"서울특별시 송파구 송이로 156, 태정타워 (가락동)",02-3411-2360,내과,서울,127.1246503,37.4930599,3.5
122,강남수요양병원,"서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)",02-888-8866,내과,서울,126.9304624,37.4851884,2.5
123,강남요양병원,"서울특별시 서초구 서초중앙로 197, (반포동)",02-832-0151,내과,서울,127.0120817,37.4993952,2.1
124,강남제일요양병원,"경기도 광주시 오포읍 새말길 188, ()",031-711-0220,내과,경기,127.1633822,37.3745378,3.1
125,강남효요양병원,"서울특별시 관악구 남부순환로 1704, (봉천동)",02-885-8080,내과,서울,126.9394042,37.4830572,2.7
126,강동성모요양병원,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",02-488-0020,내과,서울,127.1271993,37.5434735,3.5
127,강동스마일요양병원,"경기도 하남시 미사강변대로54번길 70, 산우빌딩 지3, 지1, 1층일부, 2~5",031-794-9939,내과,경기,127.1894676,37.5558132,3.5
128,강동요양병원,"경기도 용인시 기흥구 구갈로 70, (구갈동, 구갈메가타운 8,9층)",031-282-6262,내과,경기,127.111688,37.2805527,3.9
129,강동우리들요양병원,"서울특별시 강동구 구천면로 202, 행복타워빌딩 B2,2,3,4,6층 (천호동)",02-474-7570,내과,서울,127.127112,37.5401093,2.4
130,강림요양병원,"부산광역시 사상구 낙동대로 792, (엄궁동)",051-329-9000,내과,부산,128.9728208,35.1312796,1.3
131,강민의료재단 나누리요양병원,"경상남도 김해시 진례면 진례로74번길 47, ()",055-342-1101,내과,경남,128.7534948,35.2394835,3.8
132,강변요양병원,"경기도 가평군 가평읍 북한강변로 160, ()",031-582-8858,내과,경기,127.5259488,37.7473062,3.0
133,강북성심요양병원,"경기도 고양시 덕양구 중앙로557번길 7-14, (행신동)",031-978-1122,내과,경기,126.8354367,37.6227032,2.2
134,강북연세요양병원,"서울특별시 서대문구 성산로 335, (연희동)",02-335-2277,내과,서울,126.9276697,37.5661224,2.4
135,강북요양병원,"대구광역시 북구 칠곡중앙대로 504-6, (읍내동)",053-313-6006,내과,대구,128.5507763,35.9398743,2.5
136,강북휴요양병원,"서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)",02-982-7080,내과,서울,127.027052,37.6231841,2.0
137,강진효요양병원,"전라남도 강진군 강진읍 해강로 1322-0, ()",061-430-7501,내과,전남,126.7526605,34.6230993,3.0
138,강화요양병원,"인천광역시 강화군 길상면 강화동로 181, ()",032-937-0639,내과,인천,126.4919705,37.6554282,3.5
139,강화희망요양병원,"인천광역시 강화군 송해면 강화대로 743, ()",,내과,인천,126.4606079,37.7633729,2.8
140,개금길요양병원,"부산광역시 부산진구 백양대로 252, 1~7층 (개금동)",051-711-1279,내과,부산,129.02322,35.1563937,3.1
141,갤러리의아침요양병원,"경상남도 밀양시 내이신촌1길 14, (내이동)",055-352-2006,내과,경남,128.7351006,35.5049927,3.7
142,거제요양병원,"경상남도 거제시 거제대로 2975, (장승포동)",055-682-5555,내과,경남,128.7184787,34.859862,3.6
143,거창군립 노인요양병원,"경상남도 거창군 거창읍 운정3길 180, ()",943-3333,내과,경남,127.8908109,35.6757991,4.0
144,경기도립노인전문 평택병원,"경기도 평택시 삼남로 312, (도일동)",031-669-9988,내과,경기,127.0976195,37.0537393,3.3
145,경기도립노인전문남양주병원,"경기도 남양주시 수동면 외방로172번길 50, ()",031-590-5000,내과,경기,127.3093065,37.7383995,2.0
146,경기도립노인전문동두천병원,"경기도 동두천시 탑신로 536, (탑동동)",031-860-4114,내과,경기,127.1361038,37.9009534,2.5
